id,character,voice_profile,stability,similarity,style,speaker_boost,text,direction,priority
cc_act3_path_transparent_human,"The Human",human,0.55,0.85,0.30,true,"Telling her was the harder choice. I have watched you skip the harder choice three times this week. You did not skip this one. I am filing that. I file everything.","Conspiratorial but kind. The Human respects the choice the player just made.",P1
cc_act3_path_pragmatic_human,"The Human",human,0.55,0.85,0.30,true,"Pragmatic. Alright. You want to see the data before deciding who gets access. Fine. But watch your own tempo — the pragmatic posture becomes a habit faster than you expect.","Conspiratorial but kind. The Human respects the choice the player just made.",P1
cc_act3_path_full_secret_human,"The Human",human,0.55,0.85,0.30,true,"She can see the shape of what you are doing without me. I will not tell her you are doing it. You will. Eventually. I'm not asking; I am forecasting.","Conspiratorial but kind. The Human respects the choice the player just made.",P1
cc_act3_kael_logs_unlocked_human,"The Human",human,0.55,0.85,0.30,true,"Every world on that map has a descendant population. Most of them still carry the Thought Virus, dormant. Scan everything. I know I sound paranoid. I have earned the tone.","Conspiratorial but kind. The Human respects the choice the player just made.",P1
cc_act4_pathA_bridge_human,"The Human",human,0.55,0.85,0.30,true,"I have been trying to be on her side for seventeen thousand years without being allowed to say so. Tonight I said so. Out loud. In her hearing. You did that.","Patient, wry. The cover is still intact. Do not let irony flatten into sarcasm.",P1
cc_act4_pathB_discovery_human,"The Human",human,0.55,0.85,0.30,true,"She is hurt in the specific way she is hurt when she is not being told something. I have seen that hurt before. In the Senate. Usually I was the one keeping the secret. Now you are. Unfair trade.","Patient, wry. The cover is still intact. Do not let irony flatten into sarcasm.",P1
cc_act4_pathC_betrayal_human,"The Human",human,0.55,0.85,0.30,true,"She is a professional. She will keep her post. That is a cost she is paying on behalf of a promise she made to a body that no longer exists. Earn it.","Patient, wry. The cover is still intact. Do not let irony flatten into sarcasm.",P1
cc_act4_army_unlocked_human,"The Human",human,0.55,0.85,0.30,true,"The army is a cover. I told you this. I will keep telling you. Build the cover beautifully. The beauty of it is what lets us do the rest.","Patient, wry. The cover is still intact. Do not let irony flatten into sarcasm.",P1
cc_act5_map_first_open_human,"The Human",human,0.55,0.85,0.30,true,"Every pin on that map is a person Kael shook hands with. The handshakes outlived him. They outlived the war. That is what you are reading when you read the map.","Wry, long-memory. Fifteen-thousand-year perspective told as a short story.",P1
cc_act5_first_recruit_human,"The Human",human,0.55,0.85,0.30,true,"One recruit. Scan their systems twice. Once for contamination. Once for the thing they would never think to mention. The second scan is where the truth lives.","Wry, long-memory. Fifteen-thousand-year perspective told as a short story.",P1
cc_act5_sector_complete_human,"The Human",human,0.55,0.85,0.30,true,"A whole sector. Kael visited every world in this sector. Every single one remembers his handshake. Every single one now has yours. Think about that for a minute. I have been.","Wry, long-memory. Fifteen-thousand-year perspective told as a short story.",P1
cc_act6_elara_confession_human,"The Human",human,0.55,0.85,0.30,true,"She just told you she used to have a body. She has never told anyone. Not in my hearing. Be careful with what she said — it cost her more to say than the saying showed.","Noir-strategist, substrate-adjacent. One click warmer than early acts. Identity is out; conspiracy is in.",P1
cc_act6_confession_close_human,"The Human",human,0.55,0.85,0.30,true,"I stopped being the role for the length of one match. I got a laugh I did not expect. I am putting the role back on now. Please do not tell her the laugh was real. It was.","Noir-strategist, substrate-adjacent. One click warmer than early acts. Identity is out; conspiracy is in.",P1
cc_act7_visible_war_won_human,"The Human",human,0.55,0.85,0.30,true,"The visible war is over. The cover held. The Watcher did not notice the shape beneath it. That is what I needed. Now we start the other one. Quietly. Slowly. For real.","Noir-strategist, substrate-adjacent. One click warmer than early acts. Identity is out; conspiracy is in.",P1
cc_act7_convergence_landing_human,"The Human",human,0.55,0.85,0.30,true,"You arrived whole. The Architect did not. The Dreamer did not. The Watcher did not. That is the most important sentence of the seven-act arc, and I am going to say it exactly once.","Noir-strategist, substrate-adjacent. One click warmer than early acts. Identity is out; conspiracy is in.",P1
cc_act7_arc_closes_human,"The Human",human,0.55,0.85,0.30,true,"I am still in the wall. I am good at being in the wall. The wall is not the role any more — the role is the costume, the wall is the home. Come back. The kettle is still on.","Noir-strategist, substrate-adjacent. One click warmer than early acts. Identity is out; conspiracy is in.",P1
